category_id,model,fold_id,train_end,test_start,test_end,train_size,mape,smape,mae,rmse
24,prophet,5,2017-05-08,2017-05-15,2017-06-05,124,8.199486545378425,7.654843246326849,32.108951777564926,42.43770298823791
24,prophet,6,2017-06-05,2017-06-12,2017-07-03,128,7.968235414397943,8.181162642967497,36.9377035207355,42.01375464623374
24,prophet,7,2017-07-03,2017-07-10,2017-07-31,132,12.680610990390745,11.353380145446177,48.696095132190536,65.74891914416389
24,sarima,0,2016-12-19,2016-12-26,2017-01-16,104,9.174379084139286,8.950759693768434,39.74557394681308,52.777800696841716
24,sarima,1,2017-01-16,2017-01-23,2017-02-13,108,12.464142348592492,11.351012812016583,54.267054623081734,67.6092721935348
24,sarima,2,2017-02-13,2017-02-20,2017-03-13,112,14.519763294088408,15.769276923036532,73.08789102661416,80.33196481070138
24,sarima,3,2017-03-13,2017-03-20,2017-04-10,116,20.905674480966674,18.75172980082872,84.47035603525973,87.45286422278828
24,sarima,4,2017-04-10,2017-04-17,2017-05-08,120,6.496441819128893,6.751540656632743,26.850043907255525,29.845320788420032
24,sarima,5,2017-05-08,2017-05-15,2017-06-05,124,9.463642860287452,9.20245818011207,38.712191355059986,42.77085562943504
24,sarima,6,2017-06-05,2017-06-12,2017-07-03,128,10.80571828778642,11.977514232690554,51.18601095737388,70.74371805262058
24,sarima,7,2017-07-03,2017-07-10,2017-07-31,132,20.082445801792577,16.938087575484627,77.14901953574297,104.27259936099716
